dataset_source,category_id,category_name,length_cm,width_cm,height_cm,typical_len_cm,min_len_cm,max_len_cm,source_reference,image_path
ABO Dataset,B075HXJ6Q9,Amazon Brand – Rivet Abstract Modern Gold Halo Painting on W,76.2,76.2,3.81,76.2,74.68,77.72,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/67/67aa53dd.jpg
ABO Dataset,B07K8XX4GJ,Amazon Basics Rollaway Folding Guest Bed with 4-inch Memory,190.5,78.74,45.72,190.5,186.69,194.31,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/af/af5f2852.jpg
ABO Dataset,B00M92QA3I,Pinzon Microfiber fitted sheet - Dove Gray 90 x 200 x 30 cm,27.94,1.88,5.08,27.94,27.38,28.5,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/91/919e15c6.jpg
ABO Dataset,B00R3N09EY,Amazon Basic Medicine Ball,21.59,21.59,21.59,21.59,21.16,22.02,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/5c/5cb1ecb6.jpg
ABO Dataset,B07S62HZR7,"AmazonBasics Adjustable Speaker Stand - 4.1 to 6.6-Foot, Ste",11.51,11.51,135.2,135.2,132.5,137.9,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ce/cef87bab.jpg
ABO Dataset,B07SF7CRMH,"AmazonBasics Mechanical Drafting Pencil, 0.7mm",13.72,1.27,1.02,13.72,13.45,13.99,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/50/5074399c.jpg
ABO Dataset,B071SHHZTC,"Amazon Brand – Rivet Modern Ombr&eacute; Wool Rug, 5' x 8',",243.84,152.4,0.64,243.84,238.96,248.72,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/8f/8ffe969d.jpg
ABO Dataset,B083KPCMRG,AmazonBasics Replacement Filtrete Advanced Under-Sink Quick,8.13,8.13,34.8,34.8,34.1,35.5,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ce/ce0eda1a.jpg
ABO Dataset,B07DC18PWD,"AmazonBasics Pet Training and Puppy Pads, Fresh Scent, Regul",55.88,55.88,0.06,55.88,54.76,57.0,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/a5/a5ec609d.jpg
ABO Dataset,B08FDQGP4N,"Face Mask Motorcycle,JSPA Cooling Seamless Lightweight Thin",13.97,13.97,0.99,13.97,13.69,14.25,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/d4/d45e3afe.jpg
ABO Dataset,B07S1BMDTY,"AmazonCommercial Short Lobby Angle Broom, Black - 6-pack",89.92,21.08,3.56,89.92,88.12,91.72,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/f2/f2149e63.jpg
ABO Dataset,B07PW2MRH8,"AmazonBasics Replacement LED String Light Bulbs S14 Shape, E",3.56,9.65,3.56,9.65,9.46,9.84,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/1b/1bc1716c.jpg
ABO Dataset,B001TH7GV4,AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female -,100.0,1.12,1.65,100.0,98.0,102.0,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/51/51aea59a.jpg
ABO Dataset,B07B4MDDJH,"Amazon Brand – Rivet Edgewest Modern Ottoman, Leather, 32""W,",91.44,20.32,91.44,91.44,89.61,93.27,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/2a/2a2e7829.jpg
ABO Dataset,B074MGD4S8,"Amazon Basic Tool Storage Case Tool Box with Dividers, AMZ17",42.16,33.53,8.18,42.16,41.32,43.0,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/70/70351a6b.jpg
ABO Dataset,B01928HYY0,"AmazonBasics Self-Inflating Air Pad for Sleeping, Camping, T",195.58,63.5,5.08,195.58,191.67,199.49,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/8b/8b4af55b.jpg
ABO Dataset,B07SLHRDV3,AmazonBasics 23.5 Inch Steel Lattice Fire Pit (Renewed),70.61,64.26,65.53,70.61,69.2,72.02,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ae/ae52fbc4.jpg
ABO Dataset,B07YNVJ8RW,AmazonBasics Small Double Padded Ski Bag - 59 x 7 x 7 Inches,185.42,17.78,30.48,185.42,181.71,189.13,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/38/38f61fd1.jpg
ABO Dataset,B07995MGK5,Amazon Brand - Solimo Jaunty Yellow XXL Printed Bean Bag Cov,117.0,117.0,107.0,117.0,114.66,119.34,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/7d/7d450b78.jpg
ABO Dataset,B07GL3HNT6,Amazon Brand: EONO Essentials Auto Stop Digital Tyre Inflato,18.2,18.2,7.3,18.2,17.84,18.56,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/52/52167a52.jpg
ABO Dataset,B073RLQTQG,Amazon Brand - Solimo Wall Sticker for Kids' Room (Balloon P,50.0,70.0,1.0,70.0,68.6,71.4,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/b0/b0a2dccd.jpg
ABO Dataset,B07V91BYT9,"AmazonBasics - Windshield Wiper Blades (Set of 2) - 22"" / 19",60.96,2.54,6.6,60.96,59.74,62.18,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/e0/e058a1aa.jpg
ABO Dataset,B07SVY2HW1,Movian Hypoallergenic High Resilience Dual Side Mattress,190.0,160.0,20.0,190.0,186.2,193.8,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/16/169ab338.jpg
ABO Dataset,B07JCMFLTT,AmazonBasics Bathroom Accessory Collection Toilet Paper Hold,16.0,16.0,55.24,55.24,54.14,56.34,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/08/088f88e6.jpg
ABO Dataset,B01LP0V4JY,AmazonBasics Extra Thick Exercise Yoga Gym Floor Mat with Ca,187.96,60.96,1.27,187.96,184.2,191.72,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/e7/e77453e8.jpg
ABO Dataset,B072WXCFWC,AmazonBasics Manila File Folders with Fasteners - Legal Size,24.13,37.16,0.15,37.16,36.42,37.9,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/d6/d6b92a71.jpg
ABO Dataset,B086HGLPPQ,AmazonBasics Full-Coverage Tempered Glass Screen Protector f,13.79,6.5,0.15,13.79,13.51,14.07,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ba/ba5db759.jpg
ABO Dataset,B0058GH5TU,AmazonBasics 16 GB USB 2.0 Flash Drive (Gray Blue),5.89,1.78,0.91,5.89,5.77,6.01,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/5c/5cc0fb36.jpg
ABO Dataset,B01EK7TEL4,AmazonBasics 2.0 Channel Bluetooth Sound Bar,79.25,6.86,6.86,79.25,77.67,80.83,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/88/881a3a1f.jpg
ABO Dataset,B074M9BSHB,"365 by Whole Foods Market, Polenta, Yellow, 17.6 Ounce",5.51,19.0,5.99,19.0,18.62,19.38,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/90/90a67eea.jpg
ABO Dataset,B07GFSJ69T,"Amazon Brand - Movian Kolva Sliding 2-Door Wardrobe, 180 x 6",61.0,180.0,197.0,197.0,193.06,200.94,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/b6/b64bb4e7.jpg
ABO Dataset,B07NSC422X,"AmazonBasics Wall Ball, black",35.0,35.0,35.0,35.0,34.3,35.7,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/0f/0f694dee.jpg
ABO Dataset,B01MTB9RVS,"AmazonBasics Euro Bar Cabinet Handle (3/8"" Diameter), 21.25""",53.98,3.51,0.97,53.98,52.9,55.06,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/00/00ec7764.jpg
ABO Dataset,B07TQ8TS5F,AmazonBasics Industrial Strength Wire Shelf Liner - 45.72 x,121.92,45.72,0.04,121.92,119.48,124.36,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/eb/eb8eb93d.jpg
ABO Dataset,B07B8JXS7N,Amazon Brand – Rivet Modern Metal Wall Mounted Hexagon Teali,9.53,87.0,29.21,87.0,85.26,88.74,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/b3/b386666b.jpg
ABO Dataset,B073P648NH,Amazon Brand – Stone & Beam Modern 9-Piece Green and Brown G,121.92,1.27,121.92,121.92,119.48,124.36,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/fb/fbe77441.jpg
ABO Dataset,B07JD3PQJR,Eono Essentials Makeup Brush Cleaner Cleaning Tool Quick Cle,10.16,10.16,3.3,10.16,9.96,10.36,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/cf/cf3f5602.jpg
ABO Dataset,B07MWZPPPC,"Amazon Brand - Solimo Clean Plus Toothbrushes, Pack of 10",3.2,11.99,26.01,26.01,25.49,26.53,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/13/130c53e5.jpg
ABO Dataset,B07P3H2SNY,UMI. by Amazon - Fitness Adjustable Weight Bench - Training,138.0,39.0,42.5,138.0,135.24,140.76,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ef/ef9a22cf.jpg
ABO Dataset,B003Y74AZ2,AmazonBasics Case for Apple iPhone 4 / 4S Black Silicone,11.71,6.1,1.27,11.71,11.48,11.94,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/3f/3fdef724.jpg
ABO Dataset,B07RTC2TZ9,"AmazonBasics Wardrobe Boxes - 24"" x 24"" x 40"", 3-Pack",101.6,10.16,60.96,101.6,99.57,103.63,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/60/60793840.jpg
ABO Dataset,B07NQYF41S,AmazonBasics Low Profile Rubber Duct Floor Cord Cover/Protec,152.4,6.22,1.27,152.4,149.35,155.45,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/c9/c9456e2b.jpg
ABO Dataset,B07PBX1XRQ,"AmazonBasics Hip Band, 1-Pack, Large",43.18,8.0,0.51,43.18,42.32,44.04,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/34/3470642b.jpg
ABO Dataset,B086XH9N3Y,"AmazonCommercial Glass Candle Holder, 3.7 oz., Set of 6",6.1,6.1,6.1,6.1,5.98,6.22,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/1e/1eea8e26.jpg
ABO Dataset,B07W2RDY2C,"AmazonCommercial Lockout Steering Wheel Cover, 15"" Diameter",40.64,0.64,40.64,40.64,39.83,41.45,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/9d/9dca54d6.jpg
ABO Dataset,B07Y5C72BV,"AmazonCommercial Powder Free, Textured Disposable Nitrile Gl",24.0,11.5,0.02,24.0,23.52,24.48,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/13/13eb83e6.jpg
ABO Dataset,B07JP4M9ZD,(Renewed) AmazonBasics Packing Cubes/Travel Pouch/Travel Org,51.56,48.01,3.05,51.56,50.53,52.59,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/b3/b31d6b3a.jpg
ABO Dataset,B07MCBKT23,Amazon Brand – Ravenna Home Solid Pine Flat-Topped Headboard,165.1,4.5,127.0,165.1,161.8,168.4,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/39/395b9d26.jpg
ABO Dataset,B07PRJKH9H,AmazonBasics 2-Channel Class D Digital Power Amplifier,43.18,15.24,5.08,43.18,42.32,44.04,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/12/12e54c7f.jpg
ABO Dataset,B07P9QZZ3Y,"AmazonBasics Thick Modern Curved 6.5"" Length (5 Inch Hole Ce",16.51,2.77,1.85,16.51,16.18,16.84,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/68/68f0f043.jpg
ABO Dataset,B0749RMSR4,AmazonBasics Polyester Solid Fabric Pleating Rollo Blind wit,69.85,2.46,2.46,69.85,68.45,71.25,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/76/763b29c1.jpg
ABO Dataset,B07HR97XDK,"AmazonBasics Primary Composition 1/2"" Ruled, 100-Sheet, 9.75",19.0,24.8,0.88,24.8,24.3,25.3,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/bb/bb781637.jpg
ABO Dataset,B08CKV79RD,Bourge Men's Vega-9 Brown Running Shoes-12 UK (46 EU) (13 US,32.0,18.0,11.5,32.0,31.36,32.64,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/c0/c09a59f9.jpg
ABO Dataset,B07HGMR17K,"AmazonBasics Compostable PLA Straw, Translucent, 2,000-Count",19.99,0.6,0.6,19.99,19.59,20.39,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/6f/6f80c986.jpg
ABO Dataset,B07B4MRLT8,Amazon Brand – Stone & Beam Bartow Living Room Sectional Sof,105.41,242.57,95.25,242.57,237.72,247.42,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/a2/a2b3856e.jpg
ABO Dataset,B01MTB9YJ5,"AmazonBasics Euro Bottom Mount Drawer Slides, 14"", White Pow",35.56,2.29,2.21,35.56,34.85,36.27,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/44/449f1475.jpg
ABO Dataset,B01J8UBT5C,AmazonBasics Laptop Backpack (AB 103),34.01,17.78,49.0,49.0,48.02,49.98,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/18/18cb4849.jpg
ABO Dataset,B01M9FCQ14,AmazonBasics Play & Charge Kit for Xbox One,5.08,1.91,3.18,5.08,4.98,5.18,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/52/52aba5e8.jpg
ABO Dataset,B074J6TFGD,"365 Everyday Value, Parchment Paper, 72 SQ FT",39.37,4.83,4.95,39.37,38.58,40.16,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/7c/7cc9e8c4.jpg
ABO Dataset,B0732HV63N,Amazon Brand – Stone & Beam Contemporary Boho Colorful Fring,182.88,121.92,0.25,182.88,179.22,186.54,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/11/1191417b.jpg
ABO Dataset,B07RR5HWKN,"Amazon Brand - Solimo Omega-3 Fish Oil 1000mg (EPA : 300mg,",9.4,17.5,9.4,17.5,17.15,17.85,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/27/271b23c5.jpg
ABO Dataset,B07QJLJDMC,"Rivet 18-Piece Stoneware Plates and Bowls Dinnerware Set, Se",27.3,27.3,5.08,27.3,26.75,27.85,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/66/660cfdeb.jpg
ABO Dataset,B07QYTNK1M,"AmazonBasics LED E14 Small Edison Screw Appliance Bulb, 1.8W",5.9,2.5,5.9,5.9,5.78,6.02,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/9e/9e79fa7e.jpg
ABO Dataset,B00HZJ8IVM,Classic Accessories Stellex Always-Ready Boat Seat Cover,46.99,54.61,43.18,54.61,53.52,55.7,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/29/2904df6e.jpg
ABO Dataset,B07VTNCW96,Stone & Beam Modern Rustic Round Wood and Galvanized Metal W,60.96,15.24,60.96,60.96,59.74,62.18,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/04/04820016.jpg
ABO Dataset,B07KVYZNMC,"AmazonBasics Lightning to USB A Cable, Advanced Collection -",76.25,1.22,0.53,76.25,74.72,77.78,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/19/1929b68e.jpg
ABO Dataset,B07T7H5D7S,AmazonBasics Digital Tire Pressure Gauge with Emergency Esca,16.41,6.71,2.49,16.41,16.08,16.74,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/10/104419f7.jpg
ABO Dataset,B072ZHRDMZ,"AmazonBasics Car Cargo Bag, Black",110.49,42.77,85.09,110.49,108.28,112.7,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ba/ba17d43d.jpg
ABO Dataset,B07X3ZSF7S,AmazonBasics Small Double Padded Ski Bag - 59 x 7 x 7 Inches,149.86,17.78,17.78,149.86,146.86,152.86,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/25/25fb6382.jpg
ABO Dataset,B07DPYPV8F,"AmazonBasics Anti-Scratch Safety Glasses, UV-Resistant, Clea",14.91,14.3,4.14,14.91,14.61,15.21,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/d4/d495ff50.jpg
ABO Dataset,B001TH7GUA,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 6 Feet (1.8,182.88,1.27,1.27,182.88,179.22,186.54,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/20/2070e020.jpg
ABO Dataset,B07B4Z98R6,Amazon Brand – Rivet Mid-Century Modern Glass Globe Ceiling,35.56,102.87,17.14,102.87,100.81,104.93,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/63/63a0cd63.jpg
ABO Dataset,B074PBSSFV,AmazonBasics Hitch Mount Cargo Carrier for 2 inch receivers,151.99,53.01,18.03,151.99,148.95,155.03,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/3b/3b6ed90b.jpg
ABO Dataset,B06X19FLTC,AmazonBasics Large Extended Gaming Computer Mouse Pad - Blac,90.17,0.23,42.88,90.17,88.37,91.97,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/a4/a4c697af.jpg
ABO Dataset,B07B8PXSGV,Amazon Brand – Rivet Mid-Century Modern Stoneware Indoor Han,14.61,14.61,13.97,14.61,14.32,14.9,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/6e/6e26981f.jpg
ABO Dataset,B00CTFMD1S,Pinzon Hypoallergenic Down Alternative Body Pillow with Cott,53.34,67.06,7.62,67.06,65.72,68.4,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/b2/b296512f.jpg
ABO Dataset,B0046ZT55G,14k Yellow Gold Oval Ornament Earrings,9.91,9.4,0.51,9.91,9.71,10.11,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/0a/0a599ce0.jpg
ABO Dataset,B074H6YPD2,"Whole Foods Market, OptiLiver with Milk Thistle, 90 ct",5.87,5.87,10.95,10.95,10.73,11.17,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ab/abb33348.jpg
ABO Dataset,B07DC4L7FW,"UMI. Essential Resistance Bands, 1-34 kg",109.98,10.46,5.0,109.98,107.78,112.18,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/84/84e3b3f5.jpg
